ROBOT_MODEL;ISSUE_CATEGORY;INCIDENT_SUMMARY;DESCRIPTION;PRIORITY;STEP_1;STEP_2;STEP_3;STEP_4
CareBot Alpha;POWER_SYSTEM;Unexpectedly low battery life;CareBot Alpha operating time reduced from 8 hours to 5 hours per charge.;High;Identify robot ID and review recent charging/operational logs. Note task load.;Verify charging station connection quality and output voltage. Inspect robot charging contacts.;Check battery health status via diagnostic software. Review power consumption logs for anomalies.;Test charging with a different, known-good station. Run a standardized operational test cycle measuring duration.
SecuriBot Prime;TASK_EXECUTION;Fails to dock with charging station;SecuriBot Prime approaches station but fails alignment and aborts docking multiple times.;Medium;Identify robot ID and charging station number. Observe docking attempts.;Verify charging station power and status indicators. Check for physical obstructions around the station.;Review docking sensor data (IR, camera). Check station's alignment beacon function.;Manually guide robot to dock to check physical fit. Initiate self-test for docking sensors.
CareBot Alpha;SAFETY_SYSTEM;Emergency stop button unresponsive;Pressing the physical E-Stop button on CareBot Alpha did not halt robot motion during a safety test.;Critical;Identify robot ID and location of test. Confirm E-Stop was fully depressed.;Verify E-Stop circuit wiring and physical button integrity (not stuck or damaged). Check connector seating.;Check safety PLC/controller logs for E-Stop signal status. Review safety system configuration file integrity.;Perform E-Stop test according to manufacturer procedure (if safe). Test continuity of E-Stop circuit with multimeter.
ServiBot 5000;NAVIGATION;Unable to localize in new racking area;ServiBot 5000 reports 'Localization Failed' when entering the recently installed Racking Section F.;High;Identify robot ID, specific location (Section F entrance). Note any recent map updates or construction.;Verify Section F has been correctly mapped and the map loaded to the robot. Check for sufficient environmental features (reflectors, contrast).;Review LIDAR scan data in Section F. Check status of localization algorithm parameters and map accuracy.;Attempt manual localization procedure. Add temporary localization aids (e.g., reflective tape) in Section F.
CareBot Alpha;USER_INTERFACE;Touchscreen becomes unresponsive after cleaning;The control touchscreen on CareBot Alpha stops responding to touch inputs after routine wipe-down.;Low;Identify robot ID. Note cleaning agent used. Confirm screen displays image correctly.;Verify screen is dry. Check for residue or liquid ingress around screen edges.;Review logs for screen controller errors. Check cable connections to the screen internally (if accessible/trained).;Perform a hard reboot of the robot system. Test screen response in diagnostic mode.
SecuriBot Prime;ENVIRONMENTAL_INTERACTION;Struggles to navigate on gravel path;SecuriBot Prime's wheels spin or robot gets stuck on the gravel path near the perimeter fence.;Medium;Identify robot ID and specific location on gravel path. Note weather conditions (wet/dry).;Inspect gravel path for particularly loose areas, large stones, or ruts. Check robot wheel tread depth/condition.;Review robot's traction control settings and motor torque limits. Analyze logs for wheel slippage detection.;Test navigation on different parts of the gravel path. Try adjusting speed or traction parameters.
CareBot Alpha;COMMUNICATION;Loses Wi-Fi connection near MRI suite;CareBot Alpha consistently drops network connection when passing Room 112 (MRI).;High;Identify robot ID, location (Room 112 hallway). Confirm connection restores after leaving area.;Verify Wi-Fi signal strength drops significantly near Room 112 using external tool. Note if MRI is active.;Check robot's Wi-Fi adapter specs for shielding/interference resistance. Review network logs for disconnect reason.;Test alternative Wi-Fi bands (2.4GHz vs 5GHz). Map dead zone precisely. Re-route robot if possible.
SecuriBot Prime;POWER_SYSTEM;Charging cycle interrupted error;The charging station frequently reports 'Cycle Interrupted' before SecuriBot Prime reaches full charge.;Medium;Identify robot ID and charging station ID. Note frequency and battery level at interruption.;Inspect charging contacts on both robot and station for dirt, pitting, or damage. Verify station power stability.;Check robot battery temperature during charging via logs. Review charging profile settings.;Test robot on a different charging station. Test station with a different robot (if available).
ServiBot 5000;HARDWARE;Lift mechanism making clicking sound;ServiBot 5000's vertical lift makes repetitive clicking noise when raising heavy loads.;Low;Identify robot ID, load weight when noise occurs. Pinpoint source of noise (motor, chain, guides).;Visually inspect lift mechanism (chain, belts, guides, motor mount) for wear, debris, or loose parts.;Check lubrication status of lift components. Review logs for motor current spikes during lift.;Test lift unloaded vs loaded, listening carefully. Operate lift manually via diagnostics to isolate noise.
SecuriBot Prime;HARDWARE;One wheel appears wobbly;The front right wheel of SecuriBot Prime visibly wobbles when navigating uneven surfaces.;Medium;Identify robot ID and affected wheel (FR). Observe wobble during operation.;Verify wheel nuts/bolts are tight. Check for physical damage to wheel rim or tire deformation.;Inspect wheel bearing for excessive play by manually rocking the wheel. Check axle integrity.;Swap wheel with another position (if identical) and observe if wobble follows wheel or stays at FR position.
